"Data file recorded 2024/9/27  15:35:13"
" time  hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15"
# Endonasal Branch 7/17/24 from main()
# LED0 initialized PA5
# led_init: success. Wait for LED blink
# Starting print thread
# printq access blocked by other thread. msg = # printq test message- hello from main.c 
# Clock cycles per second 96000000
 # End DAC init. Using PA4. DAC_MAX=4095 and DAC channel 1
# End ADC init PB0 PB1 PC0 PC1 PC2 PC3 PC4 PC5
# End PWM init. TIM1 PA8 PA9 PA10 PA11, TIM4 PB6 PB7 PB8 PB9, PWM13 PA6, PWM14 PA7
# End GP Output init. PA12 PC13
# End HX711 init TIM2 Ch4 PB2 as PD_SCK and PB5 as DOUT input
# End qdec inputs init. TIM3 PC6 PC7, TIM5 PA0 PA1 (32 bit)
# Starting heartbeat thread
# Starting uart input thread
# Starting hx711 thread
# Starting control thread
# Starting print_state thread
# Starting uart input thread: at tick 0.333432 
 # Starting print_state thread: at tick 32232598 (5000 ms PRNWAIT)
 #      t=,    hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15  
    0.0000,        0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0
 # Starting hx711_thread
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 85 time 26.727024 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 86 time 26.761333 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 87 time 26.793331 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 88 time 26.829727 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 89 time 26.859528 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 90 time 26.893728 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 91 time 26.926826 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 92 time 26.961033 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 93 time 26.998533 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 94 time 27.026133 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 95 time 27.058125 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 96 time 27.089029 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 97 time 27.123230 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 98 time 27.157526 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 99 time 27.195030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 100 time 27.222626 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 101 time 27.255728 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 102 time 27.288826 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 103 time 27.323027 :
 # cmd=PFRQ1 value=-3000, 
   27.3435,        0,     0,     0, 1014,   853,  1055,  1052,  1097,  1117,  1102,  1114
 # uart_input_thread count 104 time 27.367128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 105 time 27.394726 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 106 time 27.427824 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 107 time 27.460928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 108 time 27.494030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 109 time 27.530430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 110 time 27.559128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 111 time 27.592327 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 112 time 27.626526 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 113 time 27.661823 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 114 time 27.692728 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 115 time 27.729128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 116 time 27.760023 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 117 time 27.793127 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 118 time 27.826227 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 119 time 27.859324 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 120 time 27.895723 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 121 time 27.926630 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 122 time 27.960928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 123 time 27.996229 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 124 time 28.024927 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 125 time 28.059128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 126 time 28.110928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 127 time 28.160522 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 128 time 28.198025 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 129 time 28.223429 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 130 time 28.260927 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 131 time 28.291824 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 132 time 28.331528 :
 # cmd=PFRQ1 value=-3000, 
   28.3439,        0,     0,     0, 1013,  1021,  1069,  1062,  1121,  1149,  1136,  1123
 # uart_input_thread count 133 time 28.362421 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 134 time 28.392229 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 135 time 28.458529 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 136 time 28.492725 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 137 time 28.576431 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 138 time 28.595224 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 139 time 28.633827 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 140 time 28.657030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 141 time 28.689026 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 142 time 28.724327 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 143 time 28.757427 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 144 time 28.799328 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 145 time 28.826927 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 146 time 28.865522 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 147 time 28.889830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 148 time 28.926229 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 149 time 28.959429 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 150 time 28.992525 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 151 time 29.023432 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 152 time 29.058727 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 153 time 29.091824 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 154 time 29.128223 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 155 time 29.158030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 156 time 29.192230 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 157 time 29.225325 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 158 time 29.263931 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 159 time 29.292624 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 160 time 29.329123 :
 # cmd=PFRQ1 value=-3000, 
   29.3433,        0,     0,     0, 1052,  1088,  1100,  1104,  1128,  1145,  1126,  1129
 # uart_input_thread count 161 time 29.357826 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 162 time 29.392027 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 163 time 29.422928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 164 time 29.457129 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 165 time 29.492430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 166 time 29.525530 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 167 time 29.558624 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 168 time 29.593927 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 169 time 29.624826 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 170 time 29.656830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 171 time 29.690027 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 172 time 29.728630 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 173 time 29.757328 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 174 time 29.791529 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 175 time 29.827929 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 176 time 29.857723 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 177 time 29.893024 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 178 time 29.925129 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 179 time 29.959328 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 180 time 29.993729 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 181 time 30.024630 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 182 time 30.058830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 183 time 30.093029 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 184 time 30.147024 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 185 time 30.192226 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 186 time 30.238527 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 187 time 30.260626 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 188 time 30.290430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 189 time 30.324629 :
 # cmd=PFRQ1 value=-3000, 
   30.3438,        0,     0,     0, 1025,  1069,  1082,  1060,  1118,  1152,  1111,  1121
 # uart_input_thread count 190 time 30.359928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 191 time 30.397429 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 192 time 30.426128 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 193 time 30.459251 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 194 time 30.492424 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 195 time 30.532127 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 196 time 30.564123 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 197 time 30.591722 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 198 time 30.623829 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 199 time 30.664623 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 200 time 30.691126 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 201 time 30.724230 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 202 time 30.758429 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 203 time 30.792629 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 204 time 30.825722 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 205 time 30.857830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 206 time 30.892029 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 207 time 30.925129 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 208 time 30.959328 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 209 time 30.991327 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 210 time 31.024427 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 211 time 31.058624 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 212 time 31.091730 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 213 time 31.124830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 214 time 31.167830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 215 time 31.189928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 216 time 31.223127 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 217 time 31.258429 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 218 time 31.291525 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 219 time 31.322430 :
 # cmd=PFRQ1 value=-3000, 
   31.3451,        0,     0,     0, 1024,  1125,  1012,  1022,  1095,  1119,  1120,  1072
 # uart_input_thread count 220 time 31.358831 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 221 time 31.391928 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 222 time 31.427229 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 223 time 31.455929 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 224 time 31.492329 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 225 time 31.522127 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 226 time 31.557430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 227 time 31.590528 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 228 time 31.622629 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 229 time 31.656830 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 230 time 31.691029 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 231 time 31.725227 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 232 time 31.789125 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 233 time 31.824427 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 234 time 31.860828 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 235 time 31.890629 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 236 time 31.924829 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 237 time 31.964525 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 238 time 31.989923 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 239 time 32.023033 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 240 time 32.056129 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 241 time 32.089321 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 242 time 32.124622 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 243 time 32.157726 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 244 time 32.189724 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 245 time 32.223923 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 246 time 32.257030 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 247 time 32.289028 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 248 time 32.323231 :
 # cmd=PFRQ1 value=-3000, 
   32.3446,        0,     0,     0, 1006,  1078,  1094,  1043,  1096,  1126,  1123,  1125
 # uart_input_thread count 249 time 32.357430 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 250 time 32.390530 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 251 time 32.423622 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 252 time 32.456730 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 253 time 32.494228 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 254 time 32.525326 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 255 time 32.557327 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 256 time 32.591530 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 257 time 32.622433 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 258 time 32.655529 :
 # cmd=PFRQ1 value=-3000, 
 # uart_input_thread count 259 time 32.689724 :
